method,rows,time_min
BLOCKS_K2,40,66.29917898129004
BLOCKS_K2,40,62.96205237495436
BLOCKS_K2,40,74.55029988062178
BLOCKS_K2,40,58.896100035669235
RANDOM,50,127.72449237401001
RANDOM,50,145.97940622786192
RANDOM,50,112.49042055351156
RANDOM,50,124.36432706660665
RANDOM,50,119.48413206788379
RANDOM,50,113.87076083544284
RANDOM,50,130.97768814985292
RANDOM,50,142.73549887657936
RANDOM,50,139.80813914144855
RANDOM,50,128.18697032937993
RANDOM,50,119.15844366780762
RANDOM,50,121.52778655666056
RANDOM,50,141.42842467420846
RANDOM,50,119.86407654341788
RANDOM,50,136.67802770949956
RANDOM,50,141.82864616732684
RANDOM,50,141.8042023595476
RANDOM,50,135.9446108342045
RANDOM,50,129.05016546793917
RANDOM,50,129.69580158993404
RANDOM,50,119.29901354853237
RANDOM,50,139.85092218355825
RANDOM,50,130.6754383423143
RANDOM,50,142.9731015895174
RANDOM,50,122.50728186782564
RANDOM,50,125.1977952144698
RANDOM,50,137.18443729657145
RANDOM,50,125.00268991460007
RANDOM,50,129.3236906375456
RANDOM,50,134.5441712941754
RANDOM,50,108.09754613640274
RANDOM,50,121.10718124243797
RANDOM,50,121.29653119811397
RANDOM,50,138.44825877560328
RANDOM,50,141.07290990879724
RANDOM,50,107.99340336845317
RANDOM,50,125.0914392265578
RANDOM,50,124.4538617292236
RANDOM,50,116.13489793763452
RANDOM,50,116.05827784336611
RANDOM,50,129.24277698725325
RANDOM,50,129.49229040256205
RANDOM,50,109.09767613671639
RANDOM,50,124.74118730505067
RANDOM,50,149.87506661298508
RANDOM,50,145.97959723560942
RANDOM,50,136.8632696049086
RANDOM,50,127.73536000167022
RANDOM,50,119.31852133589318
RANDOM,50,137.6084353022683
RANDOM,50,122.27939891648421
RANDOM,50,105.30722515951652
RANDOM,50,117.34719422485553
RANDOM,50,121.70778109515464
RANDOM,50,131.86470336092302
RANDOM,50,127.28873813449879
RANDOM,50,128.16206002059675
RANDOM,50,139.1080822574698
RANDOM,50,113.60181660041064
RANDOM,50,124.73156813019344
BACK_TO_FRONT,50,224.83033805397253
BACK_TO_FRONT,50,196.06440429696102
BACK_TO_FRONT,50,196.80986388720945
BACK_TO_FRONT,50,200.6494704107817
BACK_TO_FRONT,50,200.50960799778386
BACK_TO_FRONT,50,211.0191488329776
BACK_TO_FRONT,50,184.9492466371343
BACK_TO_FRONT,50,183.4146313950199
BACK_TO_FRONT,50,172.45171168352127
BACK_TO_FRONT,50,190.60722406480744
BACK_TO_FRONT,50,198.93772199673023
