method,seed,time_min
Random,20251688,580.2028104580089
Random,20251689,599.4336912585319
Random,20251690,589.523704398265
Random,20251691,581.3286627197135
Random,20251692,597.7940959781495
Random,20251693,587.1555004498308
Random,20251694,580.587510437331
Random,20251695,586.0844595655565
Random,20251696,571.7210070590575
Random,20251697,567.5806459696101
Random,20251698,607.7109624454324
Random,20251699,563.0554596108586
Random,20251700,602.6662110635319
Random,20251701,586.8836518127549
Random,20251702,588.3701212635661
Random,20251703,586.9899169265163
Random,20251704,568.3757316130672
Random,20251705,592.642332539738
Random,20251706,606.0516560287952
Random,20251707,587.4058977090895
Random,20251708,589.9562171405561
Random,20251709,588.2017617769707
Random,20251710,592.842095604751
Random,20251711,598.2138102993058
Random,20251712,606.7061481639288
Random,20251713,604.5978052189799
Random,20251714,580.083552516782
Random,20251715,601.4377995927781
Random,20251716,598.3238312833909
Random,20251717,581.7690673831419
Random,20251718,601.6402301420438
Random,20251719,557.3952251805908
Random,20251720,582.5959128089636
Random,20251721,629.7740116997637
Random,20251722,592.1431671149398
Random,20251723,563.4705957056734
Random,20251724,598.6552533017523
Random,20251725,609.764673950707
Random,20251726,586.9359058180156
Random,20251727,591.0576010891497
Random,20251728,597.1621233003964
Random,20251729,590.7886625201045
Random,20251730,582.4342697496231
Random,20251731,617.829404698752
Random,20251732,575.9560461467737
Random,20251733,596.7212272208376
Random,20251734,593.4046932956595
Random,20251735,606.7699629253962
Random,20251736,600.3888040751211
Random,20251737,583.402746258155
Random,20251738,584.7831790846832
Random,20251739,603.2537014292207
Random,20251740,601.2390690332581
Random,20251741,589.9614713208355
Random,20251742,609.0991186012916
Random,20251743,598.9272630521399
Random,20251744,593.862921739345
Random,20251745,602.3907436957743
Random,20251746,628.3728450949646
Random,20251747,586.0413736301136
Random,20251748,581.37900314679
Random,20251749,596.710048027425
Random,20251750,561.5551814538603
Random,20251751,591.329808536306
Random,20251752,588.2818881505872
Random,20251753,600.8116089718173
Random,20251754,585.3272313472179
Random,20251755,585.2947356978198
Random,20251756,588.8684576167362
Random,20251757,587.7885247935355
Random,20251758,571.7375459751672
Random,20251759,566.8705523371399
Random,20251760,577.1914661368136
Random,20251761,580.889044726022
Random,20251762,614.2276795567783
Random,20251763,578.5362809418972
Random,20251764,569.6113306150813
Random,20251765,571.5077822130637
Random,20251766,594.471779196947
Random,20251767,618.4676891882112
Random,20251768,569.9031116571986
Random,20251769,584.3260270347897
Random,20251770,584.3979772270005
Random,20251771,593.0783934440375
Random,20251772,599.8589637900949
Random,20251773,600.2261921561827
Random,20251774,587.7763941218727
Random,20251775,593.2935210996142
Random,20251776,581.4880571151673
Random,20251777,574.0082602604936
Random,20251778,559.579285068155
Random,20251779,578.951777673523
Random,20251780,565.5060516765517
Random,20251781,591.8123427358072
Random,20251782,601.3963871793828
Random,20251783,597.7272086072898
Random,20251784,599.3051466301656
Random,20251785,613.7767091272226
Random,20251786,595.300608261848
Random,20251787,589.488549549836
Random,20251788,582.4174476499782
Random,20251789,604.9965452023749
Random,20251790,585.7096837649482
Random,20251791,580.7593884203767
Random,20251792,590.929923046499
Random,20251793,616.3857791436549
Random,20251794,603.8601392437482
Random,20251795,589.2835576290183
Random,20251796,600.3912451071823
Random,20251797,578.6674578150843
Random,20251798,574.758909225367
Random,20251799,571.5866410496133
Random,20251800,572.2777264129672
Random,20251801,614.7644317513531
Random,20251802,574.3377362393045
Random,20251803,572.9199822326749
Random,20251804,573.8826141232227
Random,20251805,602.389676141774
Random,20251806,593.339363084192
Random,20251807,580.8589307710413
Random,20251808,577.5006156069578
Random,20251809,602.3947261514767
Random,20251810,596.828615424389
Random,20251811,600.9399335477508
Random,20251812,572.2905862115989
Random,20251813,591.0488202120138
Random,20251814,601.4553847351406
Random,20251815,581.426530423752
Random,20251816,569.0946966927942
Random,20251817,589.2443396354342
Random,20251818,584.4311262647212
Random,20251819,602.1191986230174
Random,20251820,578.6941618756891
Random,20251821,591.0411097133148
Random,20251822,572.6558755700604
Random,20251823,577.9225044668865
Random,20251824,599.5179785006372
Random,20251825,589.9271460269472
Random,20251826,578.240581650303
Random,20251827,595.4437222931746
Random,20251828,608.0687472573841
Random,20251829,580.537464703427
Random,20251830,587.5817853767971
Random,20251831,591.3505999946896
Random,20251832,595.2877476731371
Random,20251833,603.9188173459282
Random,20251834,567.3529700199587
Random,20251835,576.575778710263
Random,20251836,587.8487948080518
Random,20251837,589.8898223898175
Random,20251838,563.6621188901212
Random,20251839,582.6697906258199
Random,20251840,572.8784628931875
Random,20251841,577.5374030282142
Random,20251842,593.4039552065321
Random,20251843,578.8972059052766
Random,20251844,577.5071624288736
Random,20251845,608.5908902736937
Random,20251846,599.0248967056634
Random,20251847,594.092796801309
Random,20251848,584.5186770743312
Random,20251849,589.1868993326129
Random,20251850,610.5061752035762
Random,20251851,608.6420499095627
Random,20251852,583.7046724738608
Random,20251853,582.4611163723415
Random,20251854,607.9510571420491
Random,20251855,586.6326282480634
Random,20251856,610.4743249723222
Random,20251857,606.4935015863203
Random,20251858,587.466097205671
Random,20251859,575.3401516492979
Random,20251860,601.1140156592645
Random,20251861,588.8281837599011
Random,20251862,583.6761985559518
Random,20251863,580.9686716404326
Random,20251864,580.6257628898325
Random,20251865,564.4412085150791
Random,20251866,578.0496722281641
Random,20251867,582.0838084107572
Random,20251868,583.9266852240025
Random,20251869,604.0213078941922
Random,20251870,582.3851094521865
Random,20251871,595.4012412732486
Random,20251872,568.7811394999765
Random,20251873,581.1194771868338
Random,20251874,579.752850871969
Random,20251875,589.2194108933849
Random,20251876,584.381973322046
Random,20251877,574.8475574496542
Random,20251878,604.6430981703725
Random,20251879,584.8419078645526
Random,20251880,576.1874867175367
Random,20251881,586.8648554603401
Random,20251882,600.0881697691871
Random,20251883,568.0629261534963
Random,20251884,567.605950178514
Random,20251885,590.6866535321467
Random,20251886,582.2983128656407
Random,20251887,580.9528788946327
Random,20251888,608.6126924107484
Random,20251889,562.5217952942058
Random,20251890,598.4103925347397
Random,20251891,577.0439856475347
Random,20251892,598.5075645043843
Random,20251893,587.1101098805339
Random,20251894,565.3452913638657
Random,20251895,573.0332899430355
Random,20251896,578.8066627989008
Random,20251897,587.7608628450233
Random,20251898,583.9641113488874
Random,20251899,602.8967371861863
Random,20251900,566.6911476558033
Random,20251901,597.0026255146876
Random,20251902,592.0171737078825
Random,20251903,581.7830682097856
Random,20251904,574.4705192395483
Random,20251905,588.4680593778504
Random,20251906,590.7469068414964
Random,20251907,570.0315678638868
Random,20251908,581.61085701224
Random,20251909,590.7487418477908
Random,20251910,581.436567537824
Random,20251911,591.9250231788459
Random,20251912,585.8594443069444
Random,20251913,567.5458137966953
Random,20251914,580.1028754001495
Random,20251915,590.2173161688366
Random,20251916,561.0709924975288
Random,20251917,595.316214574357
Random,20251918,613.2861994964693
Random,20251919,608.753811532019
Random,20251920,576.7755774377346
FrontToBack,20250921,571.7635651676126
FrontToBack,20250922,583.1491362695792
FrontToBack,20250923,580.8635043543896
FrontToBack,20250924,593.4257647955468
FrontToBack,20250925,572.2792692976572
FrontToBack,20250926,567.5876748433553
